from_domain_char_count,body_word_count,subject_word_count,longest_sentence_length,has_quoted_reply,has_email_closing,link_count,capital_letter_count,capital_letter_ratio,subject_caps_ratio,punctuation_count,punctuation_ratio,question_mark_count,number_count,number_ratio,finance_symbol_count,emoji_count,emoji_ratio,has_important,feedback_words,day_of_week,time_of_day,letter_count,whitespace_ratio,label
7,4638,3,360,1,0,26,6674,0.2195,0.1364,5995,0.124,18,4278,0.1408,0,3,0.0001,1,1,6,1,30410,0.2529,0
19,3621,10,185,1,1,43,6781,0.2546,0.1296,4644,0.0715,34,4007,0.1507,0,0,0.0,1,0,5,1,26637,1.1193,0
12,16917,11,393,1,0,68,7838,0.0977,0.2,23627,0.1722,57,8378,0.1045,2,2,0.0,1,1,1,0,80202,0.3102,0
5,693,4,58,1,1,12,104,0.0299,0.0357,675,0.1392,4,138,0.0399,0,0,0.0,0,0,4,1,3483,0.1653,0
10,4421,13,100,1,0,12,1706,0.0788,0.0469,5309,0.1729,0,674,0.0312,0,0,0.0,1,0,0,1,21650,0.1456,0
12,15617,9,401,1,0,66,7636,0.101,0.0909,22166,0.17,58,8436,0.1116,2,2,0.0,1,1,2,1,75638,0.3182,0
12,15918,16,384,1,0,80,10043,0.123,0.0909,22431,0.1367,75,9566,0.1173,0,2,0.0,1,1,2,3,81661,0.6167,0
12,11767,7,394,1,0,39,4671,0.0832,0.0513,16993,0.1666,35,6271,0.1118,0,2,0.0,1,1,4,0,56131,0.4003,0
9,6541,6,295,1,0,65,4783,0.1254,0.2222,9810,0.1768,65,4121,0.1081,0,6,0.0001,1,1,0,1,38141,0.0867,0
12,1277,8,62,1,1,7,686,0.1142,0.2,2224,0.1682,5,482,0.0807,2,1,0.0001,1,0,4,0,6009,0.7598,0
12,3884,5,335,1,0,30,2253,0.104,0.0476,5235,0.1686,24,2041,0.0943,0,2,0.0001,1,1,4,0,21660,0.091,0
12,13465,15,402,1,0,63,7695,0.1134,0.1972,19125,0.1625,56,7671,0.1132,0,2,0.0,1,1,5,3,67830,0.3384,0
12,15633,10,359,1,0,66,7412,0.0992,0.1042,21660,0.14,54,7635,0.1022,2,2,0.0,1,1,0,1,74751,0.6764,0
14,381,8,63,1,1,3,68,0.0423,0.1212,319,0.1369,0,74,0.047,0,0,0.0,0,0,1,3,1606,0.2314,0
9,12,0,12,0,0,0,2,0.0312,0.0,3,0.037,0,0,0.0,0,0,0.0,0,0,2,1,64,0.1875,0
10,1550,8,148,1,0,10,472,0.0639,0.1379,1739,0.1473,2,587,0.0798,0,2,0.0002,1,0,6,1,7381,0.2871,0
10,3237,16,230,1,1,27,1834,0.1009,0.0882,3467,0.1369,2,1276,0.0706,0,2,0.0001,1,1,2,3,18176,0.1379,0
31,3221,6,145,1,1,16,263,0.0189,0.1892,4102,0.1765,6,1452,0.1047,0,0,0.0,1,0,4,1,13905,0.2749,0
7,5851,5,399,1,1,28,1171,0.044,0.15,8951,0.0899,3,2508,0.0944,9,0,0.0,1,0,0,3,26584,2.3167,0
12,10449,12,404,1,0,41,3780,0.0763,0.1644,14760,0.1557,29,5533,0.1119,2,4,0.0,1,1,0,1,49510,0.5042,0
10,2670,9,230,1,1,23,1523,0.1,0.1379,3160,0.1482,1,1149,0.0758,0,2,0.0001,1,1,5,1,15223,0.1219,0
12,17286,9,393,1,0,72,7736,0.0939,0.122,24227,0.1687,57,8664,0.1052,2,7,0.0,1,1,4,1,82415,0.3421,0
12,16512,10,360,1,0,69,7778,0.0988,0.1538,23139,0.1723,55,7852,0.0998,0,2,0.0,1,1,0,1,78719,0.3115,0
35,2866,8,163,1,1,16,221,0.0178,0.0233,3737,0.1764,5,1298,0.1048,0,0,0.0,1,0,1,3,12429,0.3035,0
9,3880,8,295,1,0,45,3445,0.1457,0.1714,5854,0.1716,39,2864,0.1213,0,3,0.0001,1,1,1,0,23637,0.0707,0
