from_domain,body_word_count,subject_word_count,longest_sentence_length,has_quoted_reply,has_email_closing,link_count,has_unsubscribe,capital_letter_count,capital_letter_ratio,subject_caps_ratio,punctuation_count,punctuation_ratio,question_mark_count,number_count,number_ratio,finance_symbol_count,emoji_count,emoji_ratio,has_important,feedback_words,day_of_week,time_of_day,letter_count,whitespace_ratio,label
twitch.tv,1563,6,166,True,True,13,False,687,0.0888,0.1562,1708,0.1584,7,922,0.1197,0,1,0.0001,True,True,Saturday,Afternoon,7734,0.058,Good
linkedin.com,16657,11,407,True,False,73,True,8261,0.1019,0.1094,23057,0.1328,58,9531,0.1176,5,4,0.0,True,True,Friday,Morning,81096,0.7382,Good
vinted.lt,1808,8,193,True,False,20,False,242,0.0305,0.0645,2653,0.2142,1,600,0.0759,0,0,0.0,True,True,Thursday,Morning,7939,0.1549,Good
mail.morganstanleyatwork.com,1772,10,153,True,False,8,False,395,0.046,0.0227,1865,0.1342,3,619,0.0724,2,2,0.0001,True,False,Monday,Evening,8591,0.3354,Good
github.com,5480,8,95,True,False,14,False,2128,0.0794,0.0833,6604,0.1739,0,771,0.0288,0,0,0.0,True,False,Wednesday,Night,26813,0.1425,Good
vu.lt,9464,3,241,True,True,58,True,3799,0.0796,0.1613,14602,0.1171,4,4785,0.1003,0,2,0.0,True,False,Tuesday,Afternoon,47722,1.2081,Good
em.probroexpress.lt,6152,5,564,True,False,23,True,2654,0.0941,0.2941,9071,0.2064,5,4943,0.1755,0,3,0.0001,True,False,Sunday,Morning,28195,0.0627,Good
github.com,5646,8,95,True,False,16,False,2178,0.0789,0.0833,6785,0.1735,0,810,0.0294,0,0,0.0,True,False,Tuesday,Night,27608,0.1426,Good
github.com,363,12,53,True,False,11,True,255,0.1306,0.0566,458,0.1699,0,167,0.0879,0,0,0.0,False,True,Thursday,Morning,1952,0.09,Good
notice.aliexpress.com,9665,4,303,True,False,67,False,2440,0.0563,0.0526,15665,0.18,52,5342,0.1233,28,0,0.0,True,False,Sunday,Morning,43343,0.5241,Good
linkedin.com,16957,10,397,True,False,87,True,10183,0.1165,0.2041,24283,0.1629,77,9873,0.1131,2,4,0.0,True,True,Monday,Afternoon,87379,0.3135,Good
ses.binance.com,3774,14,149,True,False,24,False,491,0.0303,0.303,5561,0.2123,1,1831,0.1134,0,0,0.0,True,False,Saturday,Afternoon,16184,0.164,Good
linkedin.com,19001,12,406,True,False,83,True,8876,0.0965,0.1233,27086,0.17,67,11034,0.1201,2,4,0.0,True,True,Friday,Morning,91938,0.3177,Good
email.myfitnesspal.com,10288,3,91,True,False,201,True,11075,0.1706,0.1905,14934,0.1424,25,6550,0.1009,0,2,0.0,True,True,Sunday,Evening,64933,0.2846,Good
linkedin.com,12453,11,403,True,False,50,True,4607,0.0781,0.0769,17675,0.1615,34,6649,0.1128,2,4,0.0,True,True,Wednesday,Morning,59026,0.4411,Good
linkedin.com,4238,9,390,True,True,28,True,2123,0.0977,0.0392,5578,0.176,20,2092,0.0965,0,6,0.0002,True,False,Tuesday,Afternoon,21730,0.1,Good
gmail.com,12,0,12,False,False,0,True,2,0.0312,0.0,3,0.037,0,0,0.0,0,0,0.0,False,False,Tuesday,Morning,64,0.1875,Good
cloudinfo.oracle.com,581,7,39,True,True,9,True,142,0.0514,0.2069,427,0.1099,6,369,0.1349,0,0,0.0,False,True,Friday,Morning,2765,0.1294,Good
em.probroexpress.lt,2798,3,420,True,False,14,True,2239,0.1572,0.0,4276,0.1914,3,2886,0.2026,0,3,0.0001,True,False,Thursday,Morning,14245,0.0654,Good
email.apple.com,1861,4,147,True,False,15,False,148,0.0187,0.1,2470,0.2086,2,1055,0.1339,5,1,0.0001,True,False,Wednesday,Night,7901,0.053,Good
members.netflix.com,6022,9,663,True,False,66,True,2874,0.1073,0.1364,9003,0.2022,56,4768,0.1783,0,0,0.0,True,True,Tuesday,Evening,26783,0.1496,Good
vu.lt,11088,5,230,True,False,56,True,3752,0.0681,0.0526,17113,0.1221,3,5807,0.1055,0,0,0.0,True,False,Wednesday,Morning,55098,1.13,Good
vinted.com,664,4,81,True,False,4,False,286,0.0942,0.0476,596,0.1211,3,244,0.081,0,0,0.0,True,False,Monday,Afternoon,3035,0.3547,Good
linkedin.com,16971,9,396,True,False,87,True,10846,0.1238,0.1136,24329,0.1634,77,9456,0.108,0,4,0.0,True,True,Tuesday,Afternoon,87629,0.3126,Good
invoiceocean.com,80,4,22,True,True,2,False,69,0.1988,0.1667,87,0.1545,0,77,0.2384,0,0,0.0,False,False,Thursday,Afternoon,347,0.2353,Good
members.netflix.com,6011,7,663,True,False,66,True,2810,0.1049,0.1515,8994,0.2024,56,4703,0.1759,0,0,0.0,True,True,Sunday,Evening,26776,0.1493,Good
members.netflix.com,12248,9,700,True,False,106,True,5761,0.1032,0.0588,17609,0.1928,85,8362,0.1499,0,0,0.0,True,True,Wednesday,Morning,55835,0.1705,Good
cr.vu.lt,13022,7,314,True,True,74,True,3921,0.0614,0.0328,19990,0.1194,5,6507,0.102,0,0,0.0,True,True,Thursday,Afternoon,63870,1.2082,Good
linkedin.com,10452,14,406,True,False,38,True,3598,0.0734,0.1609,14682,0.156,29,5349,0.1093,2,2,0.0,True,True,Saturday,Morning,49022,0.5108,Good
vinted.com,684,4,81,True,False,13,False,150,0.0503,0.16,771,0.1541,3,201,0.0679,0,0,0.0,False,False,Monday,Morning,2985,0.3618,Good
linkedin.com,10249,14,392,True,False,37,True,3493,0.0729,0.0921,14406,0.1557,29,5263,0.11,6,2,0.0,True,True,Tuesday,Morning,47907,0.5193,Good
vu.lt,6887,7,292,True,True,33,True,1876,0.0545,0.0189,10074,0.1249,4,3006,0.0875,0,2,0.0,True,False,Friday,Afternoon,34411,0.9656,Good
myworkday.com,785,6,191,True,False,1,False,60,0.0189,0.1562,1156,0.1931,0,223,0.0709,0,0,0.0,False,False,Tuesday,Night,3178,0.465,Good
mail.announcements.us-ashburn-1.oci.oraclecloud.com,5270,7,165,True,False,25,False,6272,0.1873,0.08,8191,0.1716,14,3743,0.112,0,1,0.0,True,True,Monday,Morning,33478,0.0706,Good
bitwarden.com,1421,7,192,True,False,19,False,186,0.029,0.1892,1832,0.149,0,420,0.0659,0,0,0.0,True,False,Tuesday,Evening,6408,0.5768,Good
promo.autoplovykla.lt,4182,11,475,True,False,21,True,444,0.0237,0.0299,6353,0.2128,11,3323,0.1781,0,5,0.0002,True,True,Thursday,Night,18726,0.081,Good
vinted.lt,1059,11,105,True,False,16,True,99,0.0219,0.0612,1580,0.2211,2,429,0.0959,0,0,0.0,True,False,Saturday,Afternoon,4523,0.148,Good
bolt.eu,8044,10,134,True,False,28,True,1105,0.0294,0.1304,11139,0.123,2,3079,0.0819,10,1,0.0,True,False,Thursday,Afternoon,37626,1.0308,Good
bitwarden.com,1423,6,364,True,False,19,False,183,0.0286,0.2222,1838,0.1493,0,436,0.0685,0,0,0.0,True,False,Sunday,Morning,6392,0.5771,Good
mail.coinbase.com,3039,6,293,True,True,17,False,742,0.0539,0.1176,3711,0.0834,1,1480,0.1078,0,2,0.0,True,True,Friday,Evening,13759,1.8517,Good
unipark.lt,4786,9,318,True,True,19,True,1514,0.0644,0.1136,7542,0.1291,1,2244,0.0956,0,10,0.0002,True,False,Friday,Afternoon,23524,1.0704,Good
linkedin.com,16840,9,401,True,False,72,True,7967,0.0984,0.0857,23917,0.1678,57,9353,0.1156,2,4,0.0,True,True,Saturday,Morning,80972,0.3487,Good
linkedin.com,17204,9,399,True,False,87,True,10462,0.1183,0.1176,24617,0.1629,77,10008,0.1132,4,4,0.0,True,True,Thursday,Morning,88447,0.3162,Good
em.probroexpress.lt,6146,3,473,True,False,23,True,2685,0.0952,1.0,8902,0.2047,5,4609,0.1635,0,4,0.0001,True,False,Thursday,Morning,28213,0.0624,Good
steampowered.com,2433,7,123,True,True,17,False,462,0.0421,0.0732,3231,0.1132,3,859,0.0786,0,2,0.0001,True,False,Tuesday,Morning,10975,1.2371,Good
notice.aliexpress.com,6286,5,302,True,False,44,False,1739,0.0611,0.125,9725,0.1764,32,3680,0.1294,16,0,0.0,True,False,Thursday,Afternoon,28459,0.467,Good
linkedin.com,11741,11,402,True,True,44,True,4381,0.0793,0.0921,16566,0.1597,36,6314,0.1145,2,2,0.0,True,True,Wednesday,Morning,55230,0.4633,Good
ses.binance.com,4015,10,255,True,False,25,False,520,0.0303,0.2222,5915,0.2137,2,1791,0.1044,0,0,0.0,True,False,Monday,Morning,17182,0.1646,Good
vinted.com,58,11,20,False,False,0,False,44,0.1341,0.1818,13,0.0342,0,14,0.0493,0,0,0.0,False,False,Thursday,Morning,328,0.243,Good
members.netflix.com,5737,10,663,True,False,62,True,2439,0.0972,0.3333,8507,0.2022,50,4580,0.1827,0,0,0.0,True,True,Wednesday,Afternoon,25102,0.1558,Good
linkedin.com,10464,8,399,True,False,38,True,3481,0.071,0.0923,14732,0.1565,29,5275,0.1077,2,4,0.0,True,True,Saturday,Morning,49026,0.5103,Good
treatwell.lt,917,11,82,True,False,7,True,155,0.036,0.0769,1208,0.1176,4,363,0.0853,0,2,0.0002,True,False,Saturday,Morning,4306,1.0433,Good
skelbiu.lt,668,5,138,True,False,14,False,121,0.0415,0.0606,972,0.1715,2,228,0.0791,0,0,0.0,True,False,Tuesday,Morning,2916,0.5487,Good
linkedin.com,10471,7,400,True,False,38,True,3577,0.0729,0.1277,14770,0.1566,30,5339,0.1089,2,2,0.0,True,True,Friday,Morning,49085,0.5095,Good
linkedin.com,10423,7,402,True,False,38,True,3543,0.0724,0.1176,14676,0.1562,29,5248,0.1074,2,2,0.0,True,True,Wednesday,Morning,48925,0.5109,Good
uber.com,9449,6,233,True,True,53,False,4425,0.0878,0.1034,12692,0.1825,6,5073,0.1007,6,0,0.0,True,True,Friday,Evening,50391,0.0276,Good
invoiceocean.com,80,4,22,True,True,2,False,63,0.1795,0.1667,87,0.1545,0,73,0.2232,0,0,0.0,False,False,Tuesday,Evening,351,0.2324,Good
vinted.com,10193,3,222,True,True,8,False,3181,0.071,0.1333,14954,0.2243,4,4049,0.0904,0,4,0.0001,False,False,Tuesday,Afternoon,44816,0.0641,Good
linkedin.com,16500,8,405,True,False,71,True,7715,0.0959,0.0758,23447,0.1667,57,8612,0.1072,2,4,0.0,True,True,Saturday,Morning,80417,0.3489,Good
gmail.com,0,1,0,False,False,0,False,1,0.25,0.25,0,0.0,0,0,0.0,0,0,0.0,False,False,Sunday,Evening,4,0.0,Good
linkedin.com,12230,9,398,True,False,51,True,5004,0.085,0.0678,17429,0.1598,39,7014,0.1193,2,4,0.0,True,True,Sunday,Morning,58854,0.4368,Good
linkedin.com,17043,7,401,True,False,73,True,8226,0.0998,0.1091,24242,0.168,57,9176,0.1114,2,4,0.0,True,True,Tuesday,Morning,82394,0.3446,Good
insideapple.apple.com,3693,6,139,True,False,26,True,2512,0.1191,0.0435,4413,0.1293,15,2063,0.0979,0,1,0.0,True,True,Thursday,Evening,21100,0.3118,Good
vinted.com,3320,7,119,True,False,10,False,405,0.0315,0.0968,3973,0.1973,14,1039,0.0809,0,2,0.0001,False,True,Thursday,Morning,12873,0.1773,Good
vu.lt,153,8,15,True,False,4,False,29,0.0374,0.0612,154,0.1523,2,34,0.0468,0,0,0.0,False,False,Thursday,Evening,775,0.1336,Good
mgdirectmail.binance.com,3656,14,149,True,False,25,False,2121,0.11,0.303,5436,0.188,14,1597,0.0829,0,1,0.0,True,False,Tuesday,Evening,19286,0.1368,Good
linkedin.com,16776,7,401,True,False,72,True,7627,0.0939,0.2245,23857,0.167,58,9384,0.1156,6,4,0.0,True,True,Tuesday,Morning,81221,0.348,Good
linkedin.com,17394,9,396,True,False,72,True,7619,0.0918,0.1212,24345,0.1683,55,8546,0.103,2,4,0.0,True,True,Thursday,Morning,83019,0.3457,Good
developers.facebook.com,1563,8,238,True,True,11,True,337,0.048,0.1818,2293,0.2183,4,627,0.0898,0,1,0.0001,True,True,Friday,Afternoon,7015,0.0858,Good
bitwarden.com,1419,6,192,True,False,19,False,183,0.0286,0.2222,1832,0.149,0,426,0.0669,0,0,0.0,True,False,Tuesday,Morning,6394,0.5769,Good
